Client_ID;Credit_ID;Agence;Type_Credit;Date_Realisation;Montant_Initial;Duree_Mois;Taux;Assurance;Echeance_Mensuelle
CLI-0030;CRE-0030;Colmar;Habitat;2022-02-20;286469;191;3.85;1;2418.93
CLI-0031;CRE-0031;Colmar;Habitat;2021-08-02;261630;271;3.61;1;1752.49
CLI-0032;CRE-0032;Mulhouse;Habitat;2022-01-12;150045;207;3.79;0;1198.75
CLI-0033;CRE-0033;Epinal;Habitat;2021-09-16;398195;182;3.82;1;3455.47
CLI-0034;CRE-0034;Colmar;Habitat;2019-06-28;444515;261;3.22;1;2895.9
CLI-0035;CRE-0035;Epinal;Habitat;2019-02-08;302144;190;3.61;0;2499.18
CLI-0036;CRE-0036;Strasbourg;Habitat;2022-09-09;306308;248;3.48;0;2123.41
CLI-0037;CRE-0037;Strasbourg;Consommation;2022-02-24;18592;42;7.18;1;553.91
CLI-0038;CRE-0038;Strasbourg;Auto;2022-10-23;18597;68;5.48;1;358.41
CLI-0039;CRE-0039;Strasbourg;Auto;2020-03-15;21877;67;5.78;0;431.9
CLI-0040;CRE-0040;Strasbourg;Consommation;2019-09-04;21951;15;7.33;1;1597.48
CLI-0041;CRE-0041;Colmar;Consommation;2019-11-15;18414;17;7.24;1;1194.27
CLI-0042;CRE-0042;Mulhouse;Auto;2019-05-13;38180;82;5.02;1;625.33
CLI-0043;CRE-0043;Epinal;Auto;2022-02-12;32749;39;5.76;0;996.91
CLI-0044;CRE-0044;Epinal;Consommation;2020-11-30;10796;23;5.66;1;520.31
CLI-0045;CRE-0045;Colmar;Habitat;2019-09-25;189673;188;3.44;1;1552.63
CLI-0046;CRE-0046;Mulhouse;Consommation;2022-10-17;14209;19;6.75;1;827.77
CLI-0047;CRE-0047;Colmar;Habitat;2019-10-28;448221;214;3.56;0;3424.21
CLI-0048;CRE-0048;Mulhouse;Consommation;2022-08-17;7513;35;5.98;0;252.1
CLI-0049;CRE-0049;Mulhouse;Habitat;2021-06-16;336483;183;3.83;1;2912.65
CLI-0050;CRE-0050;Mulhouse;Auto;2019-08-18;35077;73;5.03;1;627.54
CLI-0051;CRE-0051;Epinal;Habitat;2022-07-06;412759;260;3.24;1;2701.98
CLI-0052;CRE-0052;Mulhouse;Habitat;2022-07-20;219104;257;3.31;1;1456.91
CLI-0053;CRE-0053;Strasbourg;Auto;2022-02-05;20009;82;5.35;1;333.22
CLI-0054;CRE-0054;Mulhouse;Habitat;2020-03-10;229974;278;3.33;1;1465.42
CLI-0055;CRE-0055;Colmar;Habitat;2020-12-19;365739;249;4.05;1;2703.2
CLI-0056;CRE-0056;Strasbourg;Habitat;2019-05-08;338313;255;4.11;1;2485.44
CLI-0057;CRE-0057;Mulhouse;Habitat;2022-09-29;152402;252;3.74;1;1079.76
CLI-0058;CRE-0058;Colmar;Habitat;2021-06-19;414997;214;3.17;0;3035.52
CLI-0059;CRE-0059;Strasbourg;Habitat;2021-08-11;422325;295;3.98;1;2832.32
CLI-0060;CRE-0060;Epinal;Habitat;2022-01-02;402074;240;3.92;1;2988.75
CLI-0061;CRE-0061;Colmar;Consommation;2019-07-13;10976;25;5.71;1;491.27
CLI-0062;CRE-0062;Strasbourg;Habitat;2019-08-22;386828;234;3.7;1;2845.83
CLI-0063;CRE-0063;Mulhouse;Consommation;2022-07-13;6345;51;7.47;1;163.91
CLI-0064;CRE-0064;Mulhouse;Consommation;2019-09-01;24613;43;7.24;0;720.89
CLI-0065;CRE-0065;Mulhouse;Habitat;2019-10-01;304661;275;4.0;0;2123.39
CLI-0066;CRE-0066;Epinal;Habitat;2022-02-14;206876;263;3.63;1;1412.4
CLI-0067;CRE-0067;Epinal;Auto;2020-08-30;22740;43;5.23;1;627.95
CLI-0068;CRE-0068;Mulhouse;Habitat;2021-01-16;300641;227;3.7;1;2251.39
CLI-0069;CRE-0069;Colmar;Auto;2020-03-27;23338;52;5.69;0;559.47
CLI-0070;CRE-0070;Epinal;Habitat;2019-10-01;449186;284;3.75;1;2985.35
CLI-0071;CRE-0071;Strasbourg;Auto;2019-04-17;15896;68;5.63;1;308.34
CLI-0072;CRE-0072;Strasbourg;Auto;2020-03-05;17969;70;5.88;1;344.75
CLI-0073;CRE-0073;Mulhouse;Consommation;2020-02-23;6217;21;7.11;0;332.88
CLI-0074;CRE-0074;Mulhouse;Habitat;2020-02-19;383259;236;3.3;0;2677.94
CLI-0075;CRE-0075;Colmar;Consommation;2022-11-05;9188;20;7.32;1;515.45
CLI-0076;CRE-0076;Strasbourg;Auto;2019-08-12;15403;62;5.7;0;321.6
CLI-0077;CRE-0077;Strasbourg;Habitat;2021-01-07;216358;222;3.71;1;1643.49
CLI-0078;CRE-0078;Mulhouse;Habitat;2019-03-26;400851;255;3.42;0;2714.39
CLI-0079;CRE-0079;Colmar;Habitat;2020-03-03;352277;293;3.77;1;2309.05
CLI-0080;CRE-0080;Colmar;Habitat;2022-02-28;413336;203;3.32;1;3179.7
CLI-0081;CRE-0081;Mulhouse;Consommation;2019-03-17;21161;19;6.35;0;1225.71
CLI-0082;CRE-0082;Colmar;Consommation;2022-11-05;16143;42;6.98;0;478.26
CLI-0083;CRE-0083;Mulhouse;Habitat;2021-05-17;446271;192;3.84;1;3752.4
CLI-0084;CRE-0084;Mulhouse;Consommation;2021-02-06;21903;46;6.5;1;594.79
CLI-0085;CRE-0085;Colmar;Auto;2020-02-14;30986;67;5.82;1;612.76
CLI-0086;CRE-0086;Colmar;Consommation;2019-02-17;17140;12;7.25;1;1531.89
CLI-0087;CRE-0087;Colmar;Habitat;2019-03-09;425854;181;3.19;1;3484.85
CLI-0088;CRE-0088;Mulhouse;Auto;2021-05-08;40276;68;5.14;0;764.81
CLI-0089;CRE-0089;Epinal;Habitat;2019-08-18;218373;252;4.11;0;1614.49
CLI-0090;CRE-0090;Mulhouse;Habitat;2021-11-20;403725;265;3.75;0;2785.13
CLI-0091;CRE-0091;Mulhouse;Habitat;2022-05-28;416518;223;3.96;0;3242.3
CLI-0092;CRE-0092;Strasbourg;Consommation;2021-02-23;11883;27;7.11;1;510.52
CLI-0093;CRE-0093;Strasbourg;Habitat;2019-09-05;384102;226;4.04;1;2992.71
CLI-0094;CRE-0094;Epinal;Consommation;2019-04-04;18560;43;7.45;1;546.85
CLI-0095;CRE-0095;Colmar;Habitat;2021-02-25;396797;235;3.72;0;2918.57
CLI-0096;CRE-0096;Colmar;Consommation;2022-08-09;10088;48;5.68;0;257.92
CLI-0097;CRE-0097;Strasbourg;Auto;2020-04-20;38544;56;5.85;1;876.19
CLI-0098;CRE-0098;Epinal;Consommation;2020-10-19;19324;36;7.36;1;655.3
CLI-0099;CRE-0099;Colmar;Consommation;2021-02-08;13290;41;7.42;1;406.32
CLI-0100;CRE-0100;Mulhouse;Habitat;2020-02-24;346472;270;3.15;1;2192.72
CLI-0101;CRE-0101;Epinal;Habitat;2022-03-02;433386;265;3.18;1;2783.89
CLI-0102;CRE-0102;Mulhouse;Habitat;2020-06-03;412731;280;3.22;1;2581.53
CLI-0103;CRE-0103;Epinal;Consommation;2019-03-15;11606;56;7.26;1;277.47
CLI-0104;CRE-0104;Mulhouse;Habitat;2020-08-20;179255;281;3.87;1;1216.02
CLI-0105;CRE-0105;Strasbourg;Habitat;2019-11-29;385909;247;3.8;1;2784.43
CLI-0106;CRE-0106;Strasbourg;Consommation;2020-03-26;19592;45;5.91;1;531.87
CLI-0107;CRE-0107;Strasbourg;Consommation;2021-05-21;6764;35;6.13;1;227.81
CLI-0108;CRE-0108;Strasbourg;Consommation;2021-11-25;13142;33;6.54;1;469.87
CLI-0109;CRE-0109;Strasbourg;Habitat;2020-02-27;189483;225;3.32;1;1366.38
CLI-0110;CRE-0110;Colmar;Consommation;2022-09-29;23975;25;6.61;1;1091.06
CLI-0111;CRE-0111;Epinal;Habitat;2019-12-22;422492;259;4.02;0;3046.59
CLI-0112;CRE-0112;Colmar;Habitat;2020-10-26;430343;242;3.99;0;3209.17
CLI-0113;CRE-0113;Mulhouse;Habitat;2020-06-13;335392;191;3.13;1;2630.79
CLI-0114;CRE-0114;Epinal;Habitat;2019-08-18;322902;222;3.71;1;2452.82
CLI-0115;CRE-0115;Epinal;Habitat;2019-06-04;299382;211;3.61;0;2319.51
CLI-0116;CRE-0116;Colmar;Consommation;2019-04-05;6651;46;7.29;1;184.99
CLI-0117;CRE-0117;Strasbourg;Auto;2021-06-01;44972;68;5.22;0;856.98
CLI-0118;CRE-0118;Epinal;Auto;2021-06-02;25626;67;5.47;1;499.29
CLI-0119;CRE-0119;Mulhouse;Auto;2020-09-23;42266;72;5.9;1;794.84
CLI-0120;CRE-0120;Epinal;Consommation;2020-01-06;21766;43;5.62;1;608.12
CLI-0121;CRE-0121;Mulhouse;Consommation;2021-09-22;18919;45;5.95;1;514.23
CLI-0122;CRE-0122;Mulhouse;Habitat;2019-10-29;233883;262;3.72;0;1617.72
CLI-0123;CRE-0123;Colmar;Habitat;2021-03-23;345194;278;3.69;1;2303.18
CLI-0124;CRE-0124;Colmar;Habitat;2022-02-22;269900;230;3.79;1;2025.91
CLI-0125;CRE-0125;Epinal;Auto;2020-05-03;44900;59;5.8;1;978.03
CLI-0126;CRE-0126;Strasbourg;Auto;2022-08-30;18505;55;5.3;1;418.18
CLI-0127;CRE-0127;Colmar;Consommation;2019-06-26;12335;38;7.2;0;398.62
CLI-0128;CRE-0128;Epinal;Consommation;2022-09-01;18428;43;5.93;1;519.62
CLI-0129;CRE-0129;Strasbourg;Consommation;2019-08-03;13978;46;6.1;0;374.92
CLI-0130;CRE-0130;Mulhouse;Consommation;2021-07-15;24230;13;5.78;0;1980.55
CLI-0131;CRE-0131;Mulhouse;Habitat;2019-02-02;442879;184;3.89;1;3842.62
CLI-0132;CRE-0132;Colmar;Consommation;2019-09-16;20910;52;7.39;1;530.89
CLI-0133;CRE-0133;Colmar;Auto;2019-10-25;23567;44;4.93;0;632.43
CLI-0134;CRE-0134;Colmar;Habitat;2022-02-02;410788;259;3.82;1;2893.73
CLI-0135;CRE-0135;Epinal;Habitat;2022-03-15;211772;216;4.12;0;1707.51
CLI-0136;CRE-0136;Mulhouse;Auto;2021-12-11;40081;48;5.67;1;1024.4
CLI-0137;CRE-0137;Epinal;Habitat;2021-08-29;182780;182;4.06;1;1622.69
CLI-0138;CRE-0138;Colmar;Habitat;2021-07-21;339250;257;3.61;1;2340.62
CLI-0139;CRE-0139;Mulhouse;Consommation;2019-07-29;19816;27;6.78;1;845.89
CLI-0140;CRE-0140;Strasbourg;Habitat;2022-08-26;217143;279;4.06;0;1512.96
CLI-0141;CRE-0141;Strasbourg;Habitat;2022-10-31;281866;254;3.46;1;1922.42
CLI-0142;CRE-0142;Mulhouse;Habitat;2020-05-07;389028;236;3.8;1;2880.35
CLI-0143;CRE-0143;Mulhouse;Habitat;2019-05-12;217100;202;3.5;0;1707.96
CLI-0144;CRE-0144;Strasbourg;Consommation;2021-08-31;10877;40;5.59;1;322.59
CLI-0145;CRE-0145;Colmar;Auto;2021-10-12;22813;60;5.62;1;487.06
CLI-0146;CRE-0146;Mulhouse;Habitat;2019-05-06;202619;200;3.77;1;1649.66
CLI-0147;CRE-0147;Epinal;Consommation;2022-10-11;5661;40;6.2;0;170.77
CLI-0148;CRE-0148;Strasbourg;Habitat;2019-05-07;392879;292;3.92;1;2628.88
CLI-0149;CRE-0149;Epinal;Habitat;2019-08-24;215337;246;4.03;0;1598.53
CLI-0150;CRE-0150;Strasbourg;Habitat;2020-04-07;358796;247;3.41;1;2472.19
CLI-0151;CRE-0151;Epinal;Habitat;2022-09-06;255986;181;3.72;1;2207.84
CLI-0152;CRE-0152;Strasbourg;Habitat;2021-07-07;444515;191;3.44;1;3601.58
CLI-0153;CRE-0153;Strasbourg;Habitat;2022-11-15;279056;288;3.25;1;1724.72
CLI-0154;CRE-0154;Mulhouse;Habitat;2019-12-09;402172;272;3.45;1;2634.82
CLI-0155;CRE-0155;Mulhouse;Habitat;2021-04-15;280146;218;3.49;1;2099.83
CLI-0156;CRE-0156;Strasbourg;Habitat;2021-01-24;307881;287;3.55;1;1983.57
CLI-0157;CRE-0157;Epinal;Consommation;2020-02-21;17255;49;6.9;0;451.36
CLI-0158;CRE-0158;Mulhouse;Auto;2020-01-17;24984;70;5.39;1;469.13
CLI-0159;CRE-0159;Epinal;Auto;2021-01-24;30158;71;5.69;1;567.76
CLI-0160;CRE-0160;Epinal;Auto;2022-05-31;22605;52;5.95;1;546.79
CLI-0161;CRE-0161;Mulhouse;Consommation;2020-07-22;8501;49;5.73;1;214.08
CLI-0162;CRE-0162;Strasbourg;Consommation;2019-05-11;21759;20;7.08;0;1216.33
CLI-0163;CRE-0163;Strasbourg;Habitat;2019-01-29;258671;209;3.57;1;2007.21
CLI-0164;CRE-0164;Colmar;Habitat;2021-12-05;394941;186;3.41;0;3245.63
CLI-0165;CRE-0165;Colmar;Habitat;2020-11-28;246965;232;3.92;1;1871.26
CLI-0166;CRE-0166;Mulhouse;Consommation;2022-08-31;14462;24;7.3;1;690.56
CLI-0167;CRE-0167;Strasbourg;Consommation;2022-03-13;11923;44;6.66;1;337.15
CLI-0168;CRE-0168;Strasbourg;Habitat;2021-05-08;421418;202;3.62;1;3357.51
CLI-0169;CRE-0169;Colmar;Consommation;2022-04-02;10210;12;7.4;1;913.8
CLI-0170;CRE-0170;Epinal;Consommation;2019-09-29;17778;30;6.16;0;683.86
CLI-0171;CRE-0171;Strasbourg;Habitat;2020-03-25;263911;262;3.61;1;1801.23
CLI-0172;CRE-0172;Epinal;Auto;2021-06-11;33532;65;5.46;0;668.45
CLI-0173;CRE-0173;Mulhouse;Consommation;2021-01-15;7153;29;7.12;1;289.1
CLI-0174;CRE-0174;Mulhouse;Habitat;2022-08-04;363464;255;3.27;1;2415.79
CLI-0175;CRE-0175;Epinal;Habitat;2022-01-28;439573;191;3.04;1;3415.01
CLI-0176;CRE-0176;Colmar;Auto;2020-09-26;44692;67;5.07;1;855.87
CLI-0177;CRE-0177;Epinal;Habitat;2022-08-05;285086;246;3.19;0;1916.74
CLI-0178;CRE-0178;Epinal;Consommation;2022-09-10;22335;31;6.26;1;837.0
CLI-0179;CRE-0179;Mulhouse;Habitat;2021-12-04;227950;200;3.92;1;1884.39
CLI-0180;CRE-0180;Mulhouse;Habitat;2021-11-24;357280;207;3.78;0;2851.42
CLI-0181;CRE-0181;Strasbourg;Consommation;2021-01-10;14461;44;7.43;1;418.2
CLI-0182;CRE-0182;Mulhouse;Habitat;2019-11-16;222196;235;3.74;1;1638.03
CLI-0183;CRE-0183;Colmar;Auto;2020-02-28;22377;60;5.86;1;482.22
CLI-0184;CRE-0184;Mulhouse;Habitat;2021-08-05;326623;294;3.38;1;2030.95
CLI-0185;CRE-0185;Strasbourg;Auto;2020-07-23;41229;67;5.32;0;798.14
CLI-0186;CRE-0186;Strasbourg;Habitat;2019-07-25;420522;180;3.41;0;3531.22
CLI-0187;CRE-0187;Epinal;Consommation;2021-03-21;22799;53;6.61;1;555.75
CLI-0188;CRE-0188;Epinal;Habitat;2021-09-17;281631;263;3.93;0;1993.18
CLI-0189;CRE-0189;Epinal;Auto;2019-03-05;41933;83;5.82;1;708.59
CLI-0190;CRE-0190;Strasbourg;Consommation;2020-04-14;12123;15;6.46;1;873.46
CLI-0191;CRE-0191;Colmar;Habitat;2020-05-20;164560;233;3.44;1;1178.0
CLI-0192;CRE-0192;Colmar;Consommation;2022-02-14;14668;30;6.52;1;568.63
CLI-0193;CRE-0193;Colmar;Habitat;2021-12-30;254264;186;3.88;0;2189.13
CLI-0194;CRE-0194;Mulhouse;Habitat;2020-03-01;414018;205;3.91;0;3368.61
CLI-0195;CRE-0195;Mulhouse;Habitat;2019-06-25;373968;190;3.39;1;3024.71
CLI-0196;CRE-0196;Colmar;Habitat;2021-12-25;376559;286;3.82;1;2515.35
CLI-0197;CRE-0197;Colmar;Consommation;2020-08-14;14864;41;5.89;1;435.49
CLI-0198;CRE-0198;Strasbourg;Auto;2021-04-23;17717;46;5.15;1;461.19
CLI-0199;CRE-0199;Colmar;Consommation;2020-08-09;7142;25;7.12;1;328.06
CLI-0200;CRE-0200;Epinal;Consommation;2021-05-12;20646;37;7.05;1;679.3
CLI-0201;CRE-0201;Epinal;Consommation;2019-04-21;22647;47;7.35;1;620.56
CLI-0202;CRE-0202;Epinal;Consommation;2022-06-09;7425;14;6.38;0;569.83
CLI-0203;CRE-0203;Strasbourg;Consommation;2021-03-25;10674;38;5.63;0;330.97
CLI-0204;CRE-0204;Epinal;Auto;2020-03-09;25252;54;5.53;1;584.0
CLI-0205;CRE-0205;Mulhouse;Auto;2022-05-10;29998;71;5.77;0;566.75
CLI-0206;CRE-0206;Colmar;Consommation;2022-08-04;5552;35;7.04;1;191.2
CLI-0207;CRE-0207;Strasbourg;Consommation;2021-10-04;17792;17;7.31;1;1154.97
CLI-0208;CRE-0208;Mulhouse;Consommation;2021-06-11;21091;41;7.16;0;640.26
CLI-0209;CRE-0209;Mulhouse;Habitat;2020-06-02;167108;252;4.27;1;1257.75
CLI-0210;CRE-0210;Mulhouse;Habitat;2022-08-02;261567;187;3.94;0;2257.57
CLI-0211;CRE-0211;Colmar;Habitat;2020-12-09;403099;223;3.1;1;2848.96
CLI-0212;CRE-0212;Colmar;Habitat;2021-09-22;307374;247;3.47;1;2133.25
CLI-0213;CRE-0213;Colmar;Habitat;2020-01-02;336404;190;3.32;1;2701.27
CLI-0214;CRE-0214;Colmar;Habitat;2022-05-28;288589;249;3.85;1;2084.88
CLI-0215;CRE-0215;Strasbourg;Habitat;2020-01-19;343792;211;3.97;1;2766.72
CLI-0216;CRE-0216;Strasbourg;Auto;2021-07-25;41740;71;4.9;1;758.33
CLI-0217;CRE-0217;Mulhouse;Consommation;2022-01-04;23580;14;7.13;1;1824.39
CLI-0218;CRE-0218;Strasbourg;Consommation;2022-10-26;22747;19;5.82;0;1307.53
CLI-0219;CRE-0219;Colmar;Habitat;2022-11-26;312317;195;3.88;1;2611.45
CLI-0220;CRE-0220;Epinal;Auto;2022-06-15;39525;47;5.67;1;1027.71
CLI-0221;CRE-0221;Epinal;Consommation;2020-04-25;6481;30;5.85;0;247.63
CLI-0222;CRE-0222;Colmar;Auto;2021-09-25;36972;62;4.9;0;747.29
CLI-0223;CRE-0223;Strasbourg;Auto;2021-01-31;17849;75;5.55;1;320.54
CLI-0224;CRE-0224;Strasbourg;Consommation;2019-12-24;18595;37;5.65;1;590.12
CLI-0225;CRE-0225;Epinal;Habitat;2019-06-25;397432;201;3.79;0;3232.5
CLI-0226;CRE-0226;Strasbourg;Habitat;2020-11-12;297356;207;3.86;1;2393.0
CLI-0227;CRE-0227;Colmar;Habitat;2021-08-22;287322;197;3.52;1;2301.3
CLI-0228;CRE-0228;Colmar;Habitat;2020-12-01;412233;290;3.19;1;2517.35
CLI-0229;CRE-0229;Epinal;Habitat;2019-05-13;424741;225;3.06;0;2970.83
CLI-0230;CRE-0230;Mulhouse;Consommation;2022-11-07;5442;56;6.09;1;124.8
CLI-0231;CRE-0231;Colmar;Consommation;2019-04-18;22293;30;7.14;0;875.74
CLI-0232;CRE-0232;Colmar;Consommation;2020-03-18;19527;48;7.37;1;526.74
CLI-0233;CRE-0233;Colmar;Auto;2021-04-09;21405;48;5.88;1;550.82
CLI-0234;CRE-0234;Strasbourg;Habitat;2019-11-12;418894;188;3.65;1;3502.3
CLI-0235;CRE-0235;Strasbourg;Habitat;2021-06-14;291948;195;3.82;1;2426.54
CLI-0236;CRE-0236;Colmar;Consommation;2021-02-09;18293;42;6.32;1;531.89
CLI-0237;CRE-0237;Strasbourg;Consommation;2022-02-05;16377;53;7.08;1;405.62
CLI-0238;CRE-0238;Mulhouse;Auto;2022-03-28;21069;75;4.83;0;365.72
CLI-0239;CRE-0239;Colmar;Consommation;2019-10-10;20626;14;6.11;1;1578.31
CLI-0240;CRE-0240;Strasbourg;Consommation;2021-03-16;16484;52;6.29;1;403.4
CLI-0241;CRE-0241;Epinal;Consommation;2021-07-15;15734;55;5.56;0;358.97
CLI-0242;CRE-0242;Strasbourg;Habitat;2022-05-26;253283;286;3.81;1;1689.78
CLI-0243;CRE-0243;Mulhouse;Habitat;2020-02-26;164463;185;4.06;0;1445.42
CLI-0244;CRE-0244;Mulhouse;Habitat;2021-07-14;382384;207;3.26;1;2886.08
CLI-0245;CRE-0245;Colmar;Habitat;2020-06-07;217433;232;3.82;1;1629.37
CLI-0246;CRE-0246;Mulhouse;Consommation;2020-05-07;20789;32;6.62;1;764.34
CLI-0247;CRE-0247;Mulhouse;Habitat;2022-05-27;439926;217;3.94;1;3471.73
CLI-0248;CRE-0248;Mulhouse;Habitat;2019-05-17;266418;269;3.59;0;1787.44
CLI-0249;CRE-0249;Colmar;Habitat;2020-06-04;165623;218;3.81;1;1285.59
CLI-0250;CRE-0250;Epinal;Consommation;2020-09-14;19676;13;6.01;1;1612.08
CLI-0251;CRE-0251;Strasbourg;Habitat;2020-02-22;188153;188;3.91;1;1613.88
CLI-0252;CRE-0252;Mulhouse;Habitat;2022-08-10;218181;260;3.66;0;1504.61
CLI-0253;CRE-0253;Epinal;Consommation;2022-09-17;21043;52;5.57;1;502.35
CLI-0254;CRE-0254;Mulhouse;Consommation;2019-02-15;13739;28;6.7;1;567.39
CLI-0255;CRE-0255;Strasbourg;Habitat;2020-09-03;354807;275;3.26;1;2254.1
CLI-0256;CRE-0256;Colmar;Habitat;2020-10-11;428399;249;3.66;1;3027.09
CLI-0257;CRE-0257;Mulhouse;Auto;2021-05-29;24730;39;5.23;1;741.88
CLI-0258;CRE-0258;Colmar;Consommation;2019-09-29;8998;44;5.98;1;249.34
CLI-0259;CRE-0259;Colmar;Consommation;2020-01-11;13753;49;6.65;1;356.89
CLI-0260;CRE-0260;Epinal;Habitat;2020-05-05;211044;185;4.17;1;1874.16
CLI-0261;CRE-0261;Colmar;Habitat;2020-11-12;358386;272;3.22;1;2279.26
CLI-0262;CRE-0262;Colmar;Consommation;2019-12-24;22819;42;6.74;1;671.48
CLI-0263;CRE-0263;Colmar;Consommation;2020-02-19;15598;44;7.0;1;445.49
CLI-0264;CRE-0264;Strasbourg;Habitat;2021-10-10;309988;293;3.41;1;1938.86
CLI-0265;CRE-0265;Strasbourg;Consommation;2022-04-25;22081;57;6.28;1;502.94
CLI-0266;CRE-0266;Mulhouse;Habitat;2020-02-05;315274;211;4.1;0;2571.38
CLI-0267;CRE-0267;Epinal;Habitat;2022-03-13;274673;290;3.41;1;1727.68
CLI-0268;CRE-0268;Epinal;Auto;2019-09-17;25742;81;4.82;1;421.2
CLI-0269;CRE-0269;Mulhouse;Habitat;2021-07-18;328450;233;3.79;0;2447.01
CLI-0270;CRE-0270;Mulhouse;Habitat;2022-11-08;305086;243;3.42;1;2124.99
CLI-0271;CRE-0271;Colmar;Consommation;2020-10-07;20823;40;7.42;1;649.33
CLI-0272;CRE-0272;Epinal;Auto;2022-08-13;16020;48;4.99;0;400.37
CLI-0273;CRE-0273;Epinal;Habitat;2022-09-15;348942;267;3.25;1;2251.95
CLI-0274;CRE-0274;Strasbourg;Auto;2021-05-16;21422;44;4.82;1;572.91
CLI-0275;CRE-0275;Colmar;Habitat;2021-07-22;224838;265;3.66;0;1534.2
CLI-0276;CRE-0276;Mulhouse;Consommation;2020-01-02;15189;52;6.66;1;376.4
CLI-0277;CRE-0277;Epinal;Consommation;2019-12-11;22554;33;6.32;1;802.24
CLI-0278;CRE-0278;Epinal;Habitat;2019-12-29;158547;287;4.12;1;1096.77
CLI-0279;CRE-0279;Colmar;Consommation;2022-01-26;12103;46;5.82;0;321.81
CLI-0280;CRE-0280;Mulhouse;Consommation;2021-12-30;15516;25;6.7;0;707.27
CLI-0281;CRE-0281;Strasbourg;Auto;2019-08-29;24031;81;5.76;1;412.03
CLI-0282;CRE-0282;Strasbourg;Habitat;2020-07-23;317972;252;3.58;0;2210.41
CLI-0283;CRE-0283;Epinal;Consommation;2021-12-10;17161;19;7.17;1;1005.75
CLI-0284;CRE-0284;Mulhouse;Habitat;2021-03-05;229004;296;3.94;1;1525.56
CLI-0285;CRE-0285;Mulhouse;Habitat;2021-05-01;304094;236;3.8;1;2251.5
CLI-0286;CRE-0286;Epinal;Auto;2020-11-01;30854;72;5.56;1;571.48
CLI-0287;CRE-0287;Colmar;Auto;2020-05-13;18364;41;5.97;1;539.26
CLI-0288;CRE-0288;Epinal;Habitat;2021-12-19;370219;270;3.22;1;2364.6
CLI-0289;CRE-0289;Epinal;Auto;2022-04-23;33453;46;5.09;1;869.14
CLI-0290;CRE-0290;Mulhouse;Habitat;2021-08-08;274325;253;3.58;1;1902.69
CLI-0291;CRE-0291;Strasbourg;Habitat;2020-02-13;397502;182;3.18;1;3237.46
CLI-0292;CRE-0292;Strasbourg;Habitat;2022-07-11;300053;298;3.61;1;1909.55
