Date_Mois;Client_ID;Capital_Restant_Du;Score_Risque;Statut
2024-09-01;CLI-0010;139126.46;25;OK
2024-10-01;CLI-0010;138516.26;18;OK
2024-11-01;CLI-0010;137906.05;60;OK
2024-12-01;CLI-0010;137295.85;82;OK
2024-01-01;CLI-0011;0.0;27;OK
2024-02-01;CLI-0011;0.0;84;OK
2024-03-01;CLI-0011;0.0;8;OK
2024-04-01;CLI-0011;0.0;60;OK
2024-05-01;CLI-0011;0.0;11;OK
2024-06-01;CLI-0011;0.0;29;OK
2024-07-01;CLI-0011;0.0;21;OK
2024-08-01;CLI-0011;0.0;94;Retard
2024-09-01;CLI-0011;0.0;1;OK
2024-10-01;CLI-0011;0.0;50;OK
2024-11-01;CLI-0011;0.0;4;OK
2024-12-01;CLI-0011;0.0;99;Defaut
2024-01-01;CLI-0012;303013.35;78;OK
2024-02-01;CLI-0012;301401.58;76;OK
2024-03-01;CLI-0012;299789.81;43;OK
2024-04-01;CLI-0012;298178.03;80;OK
2024-05-01;CLI-0012;296566.26;50;OK
2024-06-01;CLI-0012;294954.49;33;OK
2024-07-01;CLI-0012;293342.71;96;Defaut
2024-08-01;CLI-0012;291730.94;10;OK
2024-09-01;CLI-0012;290119.17;95;Retard
2024-10-01;CLI-0012;288507.39;27;OK
2024-11-01;CLI-0012;286895.62;31;OK
2024-12-01;CLI-0012;285283.85;87;Retard
2024-01-01;CLI-0013;243946.37;38;OK
2024-02-01;CLI-0013;242362.3;95;Retard
2024-03-01;CLI-0013;240778.23;92;Retard
2024-04-01;CLI-0013;239194.16;3;OK
2024-05-01;CLI-0013;237610.1;5;OK
2024-06-01;CLI-0013;236026.03;43;OK
2024-07-01;CLI-0013;234441.96;73;OK
2024-08-01;CLI-0013;232857.89;84;OK
2024-09-01;CLI-0013;231273.83;91;Retard
2024-10-01;CLI-0013;229689.76;60;OK
2024-11-01;CLI-0013;228105.69;70;OK
2024-12-01;CLI-0013;226521.62;14;OK
2024-01-01;CLI-0014;274174.87;52;OK
2024-02-01;CLI-0014;272961.7;73;OK
2024-03-01;CLI-0014;271748.54;87;Retard
2024-04-01;CLI-0014;270535.38;31;OK
2024-05-01;CLI-0014;269322.21;26;OK
2024-06-01;CLI-0014;268109.05;67;OK
2024-07-01;CLI-0014;266895.89;41;OK
2024-08-01;CLI-0014;265682.72;47;OK
2024-09-01;CLI-0014;264469.56;66;OK
2024-10-01;CLI-0014;263256.4;44;OK
2024-11-01;CLI-0014;262043.23;5;OK
2024-12-01;CLI-0014;260830.07;19;OK
2024-01-01;CLI-0015;0.0;73;OK
2024-02-01;CLI-0015;0.0;6;OK
2024-03-01;CLI-0015;0.0;38;OK
2024-04-01;CLI-0015;0.0;92;Retard
2024-05-01;CLI-0015;0.0;55;OK
2024-06-01;CLI-0015;0.0;33;OK
2024-07-01;CLI-0015;0.0;11;OK
2024-08-01;CLI-0015;0.0;29;OK
2024-09-01;CLI-0015;0.0;85;OK
2024-10-01;CLI-0015;0.0;98;Defaut
2024-11-01;CLI-0015;0.0;70;OK
2024-12-01;CLI-0015;0.0;46;OK
2024-01-01;CLI-0016;5617.02;86;Retard
2024-02-01;CLI-0016;5265.95;19;OK
2024-03-01;CLI-0016;4914.89;59;OK
2024-04-01;CLI-0016;4563.83;24;OK
2024-05-01;CLI-0016;4212.76;17;OK
2024-06-01;CLI-0016;3861.7;79;OK
2024-07-01;CLI-0016;3510.63;68;OK
2024-08-01;CLI-0016;3159.57;85;OK
2024-09-01;CLI-0016;2808.51;95;Retard
2024-10-01;CLI-0016;2457.44;15;OK
2024-11-01;CLI-0016;2106.38;1;OK
2024-12-01;CLI-0016;1755.32;29;OK
2024-01-01;CLI-0017;146643.78;48;OK
2024-02-01;CLI-0017;145961.72;57;OK
2024-03-01;CLI-0017;145279.65;60;OK
2024-04-01;CLI-0017;144597.59;61;OK
2024-05-01;CLI-0017;143915.53;80;OK
2024-06-01;CLI-0017;143233.46;75;OK
2024-07-01;CLI-0017;142551.4;84;OK
2024-08-01;CLI-0017;141869.33;24;OK
2024-09-01;CLI-0017;141187.27;79;OK
2024-10-01;CLI-0017;140505.21;37;OK
2024-11-01;CLI-0017;139823.14;73;OK
2024-12-01;CLI-0017;139141.08;59;OK
2024-01-01;CLI-0018;331389.68;72;OK
2024-02-01;CLI-0018;330048.02;1;OK
2024-03-01;CLI-0018;328706.36;75;OK
2024-04-01;CLI-0018;327364.7;37;OK
2024-05-01;CLI-0018;326023.04;10;OK
2024-06-01;CLI-0018;324681.39;16;OK
2024-07-01;CLI-0018;323339.73;54;OK
2024-08-01;CLI-0018;321998.07;73;OK
2024-09-01;CLI-0018;320656.41;84;OK
2024-10-01;CLI-0018;319314.75;85;OK
2024-11-01;CLI-0018;317973.09;32;OK
2024-12-01;CLI-0018;316631.43;78;OK
2024-01-01;CLI-0019;16569.0;72;OK
2024-02-01;CLI-0019;15780.0;65;OK
2024-03-01;CLI-0019;14991.0;49;OK
2024-04-01;CLI-0019;14202.0;23;OK
2024-05-01;CLI-0019;13413.0;67;OK
2024-06-01;CLI-0019;12624.0;98;Defaut
2024-07-01;CLI-0019;11835.0;38;OK
2024-08-01;CLI-0019;11046.0;51;OK
2024-09-01;CLI-0019;10257.0;60;OK
2024-10-01;CLI-0019;9468.0;91;Retard
2024-11-01;CLI-0019;8679.0;9;OK
2024-12-01;CLI-0019;7890.0;2;OK
2024-01-01;CLI-0020;273525.7;66;OK
2024-02-01;CLI-0020;272144.26;77;OK
2024-03-01;CLI-0020;270762.81;26;OK
2024-04-01;CLI-0020;269381.37;46;OK
2024-05-01;CLI-0020;267999.93;50;OK
2024-06-01;CLI-0020;266618.48;81;OK
2024-07-01;CLI-0020;265237.04;14;OK
2024-08-01;CLI-0020;263855.6;61;OK
2024-09-01;CLI-0020;262474.16;79;OK
2024-10-01;CLI-0020;261092.71;31;OK
2024-11-01;CLI-0020;259711.27;98;Defaut
2024-12-01;CLI-0020;258329.83;92;Retard
2024-01-01;CLI-0021;392668.35;61;OK
2024-02-01;CLI-0021;391103.93;30;OK
2024-03-01;CLI-0021;389539.52;8;OK
2024-04-01;CLI-0021;387975.1;49;OK
2024-05-01;CLI-0021;386410.69;95;Retard
2024-06-01;CLI-0021;384846.27;56;OK
2024-07-01;CLI-0021;383281.85;61;OK
2024-08-01;CLI-0021;381717.44;90;Retard
2024-09-01;CLI-0021;380153.02;66;OK
2024-10-01;CLI-0021;378588.61;3;OK
2024-11-01;CLI-0021;377024.19;76;OK
2024-12-01;CLI-0021;375459.78;76;OK
2024-01-01;CLI-0022;16042.25;13;OK
2024-02-01;CLI-0022;15524.76;31;OK
2024-03-01;CLI-0022;15007.27;60;OK
2024-04-01;CLI-0022;14489.78;30;OK
2024-05-01;CLI-0022;13972.29;9;OK
2024-06-01;CLI-0022;13454.79;19;OK
2024-07-01;CLI-0022;12937.3;30;OK
2024-08-01;CLI-0022;12419.81;59;OK
2024-09-01;CLI-0022;11902.32;89;Retard
2024-10-01;CLI-0022;11384.83;67;OK
2024-11-01;CLI-0022;10867.33;83;OK
2024-12-01;CLI-0022;10349.84;77;OK
2024-01-01;CLI-0023;0.0;78;OK
2024-02-01;CLI-0023;0.0;98;Defaut
2024-03-01;CLI-0023;0.0;6;OK
2024-04-01;CLI-0023;0.0;14;OK
2024-05-01;CLI-0023;0.0;46;OK
2024-06-01;CLI-0023;0.0;9;OK
2024-07-01;CLI-0023;0.0;74;OK
2024-08-01;CLI-0023;0.0;22;OK
2024-09-01;CLI-0023;0.0;87;Retard
2024-10-01;CLI-0023;0.0;21;OK
2024-11-01;CLI-0023;0.0;14;OK
2024-12-01;CLI-0023;0.0;30;OK
2024-01-01;CLI-0024;343331.07;45;OK
2024-02-01;CLI-0024;341171.76;83;OK
2024-03-01;CLI-0024;339012.44;88;Retard
2024-04-01;CLI-0024;336853.13;34;OK
2024-05-01;CLI-0024;334693.81;92;Retard
2024-06-01;CLI-0024;332534.5;43;OK
2024-07-01;CLI-0024;330375.18;95;Retard
2024-08-01;CLI-0024;328215.87;62;OK
2024-09-01;CLI-0024;326056.55;85;OK
2024-10-01;CLI-0024;323897.24;57;OK
2024-11-01;CLI-0024;321737.92;8;OK
2024-12-01;CLI-0024;319578.61;33;OK
2024-01-01;CLI-0025;621.5;71;OK
2024-02-01;CLI-0025;0.0;6;OK
2024-03-01;CLI-0025;0.0;45;OK
2024-04-01;CLI-0025;0.0;70;OK
2024-05-01;CLI-0025;0.0;44;OK
2024-06-01;CLI-0025;0.0;8;OK
2024-07-01;CLI-0025;0.0;18;OK
2024-08-01;CLI-0025;0.0;41;OK
2024-09-01;CLI-0025;0.0;42;OK
2024-10-01;CLI-0025;0.0;27;OK
2024-11-01;CLI-0025;0.0;83;OK
2024-12-01;CLI-0025;0.0;71;OK
2024-01-01;CLI-0026;140751.3;47;OK
2024-02-01;CLI-0026;139893.06;14;OK
2024-03-01;CLI-0026;139034.82;76;OK
2024-04-01;CLI-0026;138176.58;44;OK
2024-05-01;CLI-0026;137318.34;97;Defaut
2024-06-01;CLI-0026;136460.1;81;OK
2024-07-01;CLI-0026;135601.86;49;OK
2024-08-01;CLI-0026;134743.62;36;OK
2024-09-01;CLI-0026;133885.38;7;OK
2024-10-01;CLI-0026;133027.14;8;OK
2024-11-01;CLI-0026;132168.9;32;OK
2024-12-01;CLI-0026;131310.66;75;OK
2024-01-01;CLI-0027;159.26;6;OK
2024-02-01;CLI-0027;0.0;66;OK
2024-03-01;CLI-0027;0.0;55;OK
2024-04-01;CLI-0027;0.0;40;OK
2024-05-01;CLI-0027;0.0;30;OK
2024-06-01;CLI-0027;0.0;78;OK
2024-07-01;CLI-0027;0.0;25;OK
2024-08-01;CLI-0027;0.0;71;OK
2024-09-01;CLI-0027;0.0;98;Defaut
2024-10-01;CLI-0027;0.0;4;OK
2024-11-01;CLI-0027;0.0;26;OK
2024-12-01;CLI-0027;0.0;17;OK
2024-01-01;CLI-0028;0.0;22;OK
2024-02-01;CLI-0028;0.0;71;OK
2024-03-01;CLI-0028;0.0;67;OK
2024-04-01;CLI-0028;0.0;41;OK
2024-05-01;CLI-0028;0.0;89;Retard
2024-06-01;CLI-0028;0.0;11;OK
2024-07-01;CLI-0028;0.0;12;OK
2024-08-01;CLI-0028;0.0;39;OK
2024-09-01;CLI-0028;0.0;9;OK
2024-10-01;CLI-0028;0.0;21;OK
2024-11-01;CLI-0028;0.0;82;OK
2024-12-01;CLI-0028;0.0;22;OK
2024-01-01;CLI-0029;1430.57;31;OK
2024-02-01;CLI-0029;1192.14;47;OK
2024-03-01;CLI-0029;953.71;83;OK
2024-04-01;CLI-0029;715.29;63;OK
2024-05-01;CLI-0029;476.86;90;Retard
2024-06-01;CLI-0029;238.43;62;OK
2024-07-01;CLI-0029;0.0;23;OK
2024-08-01;CLI-0029;0.0;93;Retard
2024-09-01;CLI-0029;0.0;42;OK
2024-10-01;CLI-0029;0.0;31;OK
2024-11-01;CLI-0029;0.0;88;Retard
2024-12-01;CLI-0029;0.0;24;OK
2024-01-01;CLI-0030;251972.73;30;OK
2024-02-01;CLI-0030;250472.9;34;OK
2024-03-01;CLI-0030;248973.06;73;OK
2024-04-01;CLI-0030;247473.22;73;OK
2024-05-01;CLI-0030;245973.38;1;OK
2024-06-01;CLI-0030;244473.54;30;OK
2024-07-01;CLI-0030;242973.71;49;OK
2024-08-01;CLI-0030;241473.87;22;OK
2024-09-01;CLI-0030;239974.03;81;OK
2024-10-01;CLI-0030;238474.19;27;OK
2024-11-01;CLI-0030;236974.36;14;OK
2024-12-01;CLI-0030;235474.52;2;OK
2024-01-01;CLI-0031;232667.27;52;OK
2024-02-01;CLI-0031;231701.85;4;OK
2024-03-01;CLI-0031;230736.42;11;OK
2024-04-01;CLI-0031;229771.0;38;OK
2024-05-01;CLI-0031;228805.57;77;OK
2024-06-01;CLI-0031;227840.15;13;OK
2024-07-01;CLI-0031;226874.72;53;OK
2024-08-01;CLI-0031;225909.3;59;OK
2024-09-01;CLI-0031;224943.87;43;OK
2024-10-01;CLI-0031;223978.45;25;OK
2024-11-01;CLI-0031;223013.03;85;OK
2024-12-01;CLI-0031;222047.6;44;OK
2024-01-01;CLI-0032;132648.48;65;OK
2024-02-01;CLI-0032;131923.62;20;OK
2024-03-01;CLI-0032;131198.77;11;OK
2024-04-01;CLI-0032;130473.91;22;OK
2024-05-01;CLI-0032;129749.06;47;OK
2024-06-01;CLI-0032;129024.2;48;OK
2024-07-01;CLI-0032;128299.35;9;OK
2024-08-01;CLI-0032;127574.49;54;OK
2024-09-01;CLI-0032;126849.64;41;OK
2024-10-01;CLI-0032;126124.78;25;OK
2024-11-01;CLI-0032;125399.93;39;OK
2024-12-01;CLI-0032;124675.07;93;Retard
2024-01-01;CLI-0033;336934.23;66;OK
2024-02-01;CLI-0033;334746.35;43;OK
2024-03-01;CLI-0033;332558.46;31;OK
2024-04-01;CLI-0033;330370.58;26;OK
2024-05-01;CLI-0033;328182.69;48;OK
2024-06-01;CLI-0033;325994.81;31;OK
2024-07-01;CLI-0033;323806.92;18;OK
2024-08-01;CLI-0033;321619.04;61;OK
2024-09-01;CLI-0033;319431.15;35;OK
2024-10-01;CLI-0033;317243.27;66;OK
2024-11-01;CLI-0033;315055.38;4;OK
2024-12-01;CLI-0033;312867.5;12;OK
2024-01-01;CLI-0034;350843.26;72;OK
2024-02-01;CLI-0034;349140.13;95;Retard
2024-03-01;CLI-0034;347437.01;78;OK
2024-04-01;CLI-0034;345733.89;17;OK
2024-05-01;CLI-0034;344030.77;20;OK
2024-06-01;CLI-0034;342327.64;58;OK
2024-07-01;CLI-0034;340624.52;60;OK
2024-08-01;CLI-0034;338921.4;9;OK
2024-09-01;CLI-0034;337218.28;84;OK
2024-10-01;CLI-0034;335515.15;53;OK
2024-11-01;CLI-0034;333812.03;71;OK
2024-12-01;CLI-0034;332108.91;5;OK
2024-01-01;CLI-0035;206730.11;63;OK
2024-02-01;CLI-0035;205139.87;60;OK
2024-03-01;CLI-0035;203549.64;91;Retard
2024-04-01;CLI-0035;201959.41;7;OK
2024-05-01;CLI-0035;200369.18;15;OK
2024-06-01;CLI-0035;198778.95;51;OK
2024-07-01;CLI-0035;197188.72;96;Defaut
2024-08-01;CLI-0035;195598.48;83;OK
2024-09-01;CLI-0035;194008.25;56;OK
2024-10-01;CLI-0035;192418.02;80;OK
2024-11-01;CLI-0035;190827.79;79;OK
2024-12-01;CLI-0035;189237.56;18;OK
2024-01-01;CLI-0036;286546.19;13;OK
2024-02-01;CLI-0036;285311.08;79;OK
2024-03-01;CLI-0036;284075.97;52;OK
2024-04-01;CLI-0036;282840.85;42;OK
2024-05-01;CLI-0036;281605.74;38;OK
2024-06-01;CLI-0036;280370.63;18;OK
2024-07-01;CLI-0036;279135.52;88;Retard
2024-08-01;CLI-0036;277900.4;1;OK
2024-09-01;CLI-0036;276665.29;87;Retard
2024-10-01;CLI-0036;275430.18;13;OK
2024-11-01;CLI-0036;274195.06;40;OK
2024-12-01;CLI-0036;272959.95;94;Retard
2024-01-01;CLI-0037;8410.67;35;OK
2024-02-01;CLI-0037;7968.0;6;OK
2024-03-01;CLI-0037;7525.33;9;OK
2024-04-01;CLI-0037;7082.67;29;OK
2024-05-01;CLI-0037;6640.0;5;OK
2024-06-01;CLI-0037;6197.33;21;OK
2024-07-01;CLI-0037;5754.67;42;OK
2024-08-01;CLI-0037;5312.0;72;OK
2024-09-01;CLI-0037;4869.33;92;Retard
2024-10-01;CLI-0037;4426.67;93;Retard
2024-11-01;CLI-0037;3984.0;72;OK
2024-12-01;CLI-0037;3541.33;85;OK
2024-01-01;CLI-0038;14494.72;8;OK
2024-02-01;CLI-0038;14221.24;30;OK
2024-03-01;CLI-0038;13947.75;13;OK
2024-04-01;CLI-0038;13674.26;19;OK
2024-05-01;CLI-0038;13400.78;4;OK
2024-06-01;CLI-0038;13127.29;74;OK
2024-07-01;CLI-0038;12853.81;58;OK
2024-08-01;CLI-0038;12580.32;23;OK
2024-09-01;CLI-0038;12306.84;8;OK
2024-10-01;CLI-0038;12033.35;38;OK
2024-11-01;CLI-0038;11759.87;32;OK
2024-12-01;CLI-0038;11486.38;63;OK
2024-01-01;CLI-0039;6530.45;48;OK
2024-02-01;CLI-0039;6203.93;99;Defaut
2024-03-01;CLI-0039;5877.4;46;OK
2024-04-01;CLI-0039;5550.88;39;OK
2024-05-01;CLI-0039;5224.36;23;OK
2024-06-01;CLI-0039;4897.84;61;OK
2024-07-01;CLI-0039;4571.31;33;OK
2024-08-01;CLI-0039;4244.79;64;OK
2024-09-01;CLI-0039;3918.27;67;OK
2024-10-01;CLI-0039;3591.75;49;OK
2024-11-01;CLI-0039;3265.22;27;OK
2024-12-01;CLI-0039;2938.7;4;OK
2024-01-01;CLI-0040;0.0;29;OK
2024-02-01;CLI-0040;0.0;65;OK
2024-03-01;CLI-0040;0.0;24;OK
2024-04-01;CLI-0040;0.0;84;OK
2024-05-01;CLI-0040;0.0;24;OK
2024-06-01;CLI-0040;0.0;7;OK
2024-07-01;CLI-0040;0.0;76;OK
2024-08-01;CLI-0040;0.0;67;OK
2024-09-01;CLI-0040;0.0;42;OK
2024-10-01;CLI-0040;0.0;23;OK
2024-11-01;CLI-0040;0.0;91;Retard
2024-12-01;CLI-0040;0.0;51;OK
2024-01-01;CLI-0041;0.0;63;OK
2024-02-01;CLI-0041;0.0;4;OK
2024-03-01;CLI-0041;0.0;59;OK
2024-04-01;CLI-0041;0.0;17;OK
2024-05-01;CLI-0041;0.0;73;OK
2024-06-01;CLI-0041;0.0;37;OK
2024-07-01;CLI-0041;0.0;46;OK
2024-08-01;CLI-0041;0.0;4;OK
2024-09-01;CLI-0041;0.0;22;OK
2024-10-01;CLI-0041;0.0;6;OK
2024-11-01;CLI-0041;0.0;30;OK
2024-12-01;CLI-0041;0.0;90;Retard
2024-01-01;CLI-0042;11640.24;37;OK
2024-02-01;CLI-0042;11174.63;56;OK
2024-03-01;CLI-0042;10709.02;3;OK
2024-04-01;CLI-0042;10243.41;7;OK
2024-05-01;CLI-0042;9777.8;78;OK
2024-06-01;CLI-0042;9312.2;27;OK
2024-07-01;CLI-0042;8846.59;3;OK
2024-08-01;CLI-0042;8380.98;19;OK
2024-09-01;CLI-0042;7915.37;39;OK
2024-10-01;CLI-0042;7449.76;6;OK
2024-11-01;CLI-0042;6984.15;79;OK
2024-12-01;CLI-0042;6518.54;29;OK
2024-01-01;CLI-0043;13435.49;26;OK
2024-02-01;CLI-0043;12595.77;89;Retard
2024-03-01;CLI-0043;11756.05;99;Defaut
2024-04-01;CLI-0043;10916.33;47;OK
2024-05-01;CLI-0043;10076.62;30;OK
2024-06-01;CLI-0043;9236.9;52;OK
2024-07-01;CLI-0043;8397.18;22;OK
2024-08-01;CLI-0043;7557.46;16;OK
2024-09-01;CLI-0043;6717.74;9;OK
2024-10-01;CLI-0043;5878.03;98;Defaut
2024-11-01;CLI-0043;5038.31;4;OK
2024-12-01;CLI-0043;4198.59;82;OK
2024-01-01;CLI-0044;0.0;47;OK
2024-02-01;CLI-0044;0.0;61;OK
2024-03-01;CLI-0044;0.0;76;OK
2024-04-01;CLI-0044;0.0;53;OK
2024-05-01;CLI-0044;0.0;60;OK
2024-06-01;CLI-0044;0.0;64;OK
2024-07-01;CLI-0044;0.0;71;OK
2024-08-01;CLI-0044;0.0;2;OK
2024-09-01;CLI-0044;0.0;51;OK
2024-10-01;CLI-0044;0.0;60;OK
2024-11-01;CLI-0044;0.0;80;OK
2024-12-01;CLI-0044;0.0;82;OK
2024-01-01;CLI-0045;137210.26;68;OK
2024-02-01;CLI-0045;136201.36;96;Defaut
2024-03-01;CLI-0045;135192.46;82;OK
2024-04-01;CLI-0045;134183.56;3;OK
2024-05-01;CLI-0045;133174.66;91;Retard
2024-06-01;CLI-0045;132165.76;65;OK
2024-07-01;CLI-0045;131156.86;32;OK
2024-08-01;CLI-0045;130147.96;58;OK
2024-09-01;CLI-0045;129139.06;37;OK
2024-10-01;CLI-0045;128130.16;1;OK
2024-11-01;CLI-0045;127121.27;64;OK
2024-12-01;CLI-0045;126112.37;83;OK
2024-01-01;CLI-0046;2991.37;35;OK
2024-02-01;CLI-0046;2243.53;67;OK
2024-03-01;CLI-0046;1495.68;42;OK
2024-04-01;CLI-0046;747.84;44;OK
2024-05-01;CLI-0046;0.0;62;OK
2024-06-01;CLI-0046;0.0;22;OK
2024-07-01;CLI-0046;0.0;80;OK
2024-08-01;CLI-0046;0.0;33;OK
2024-09-01;CLI-0046;0.0;57;OK
2024-10-01;CLI-0046;0.0;37;OK
2024-11-01;CLI-0046;0.0;23;OK
2024-12-01;CLI-0046;0.0;22;OK
2024-01-01;CLI-0047;341401.98;59;OK
2024-02-01;CLI-0047;339307.49;31;OK
2024-03-01;CLI-0047;337213.0;76;OK
2024-04-01;CLI-0047;335118.5;6;OK
2024-05-01;CLI-0047;333024.01;85;OK
2024-06-01;CLI-0047;330929.52;80;OK
2024-07-01;CLI-0047;328835.03;11;OK
2024-08-01;CLI-0047;326740.54;82;OK
2024-09-01;CLI-0047;324646.05;25;OK
2024-10-01;CLI-0047;322551.56;50;OK
2024-11-01;CLI-0047;320457.07;87;Retard
2024-12-01;CLI-0047;318362.58;25;OK
2024-01-01;CLI-0048;3863.83;34;OK
2024-02-01;CLI-0048;3649.17;56;OK
2024-03-01;CLI-0048;3434.51;81;OK
2024-04-01;CLI-0048;3219.86;66;OK
2024-05-01;CLI-0048;3005.2;11;OK
2024-06-01;CLI-0048;2790.54;91;Retard
2024-07-01;CLI-0048;2575.89;15;OK
2024-08-01;CLI-0048;2361.23;1;OK
2024-09-01;CLI-0048;2146.57;4;OK
2024-10-01;CLI-0048;1931.91;71;OK
2024-11-01;CLI-0048;1717.26;58;OK
2024-12-01;CLI-0048;1502.6;4;OK
2024-01-01;CLI-0049;279483.15;15;OK
2024-02-01;CLI-0049;277644.44;30;OK
2024-03-01;CLI-0049;275805.74;66;OK
2024-04-01;CLI-0049;273967.03;39;OK
2024-05-01;CLI-0049;272128.33;35;OK
2024-06-01;CLI-0049;270289.62;1;OK
